dataset,method,n,steps,rmse,mean_crps,wall_sec,coverage_90,mean_width_90,coverage_95,mean_width_95
Wine Quality,xgboost,,,0.7282766272830983,0.43276238441467285,6.848324299993692,0.665,1.3041066381736501,0.73,1.553938904312834
Wine Quality,lmjgp_supervised,25,200,0.7779094926765733,0.4363648593425751,47.69320320000406,0.84,2.064780656002419,0.9,2.4603379020661773
Wine Quality,lmjgp_supervised,25,300,0.7512873578108514,0.42049112915992737,51.740639399999054,0.87,2.073714161335875,0.89,2.470982830236304
Wine Quality,lmjgp_supervised,25,500,0.7666889322642324,0.43123406171798706,48.45072409999557,0.84,2.0842184371531323,0.905,2.4834994468811877
Wine Quality,lmjgp_supervised,35,200,0.7684821276933954,0.4319385290145874,48.64728789999208,0.85,2.1420663980862855,0.895,2.552429543851698
Wine Quality,lmjgp_supervised,35,300,0.7929582681847565,0.44379284977912903,49.09694690001197,0.855,2.1729189584489,0.9,2.5891926370234875
Wine Quality,lmjgp_supervised,35,500,0.7669933642559469,0.42900320887565613,52.70779049998964,0.845,2.1312880461918287,0.91,2.539586345417691
Parkinsons Telemonitoring,xgboost,,,5.558470022396831,3.393463373184204,7.631315500009805,0.63,10.520714445284217,0.73,12.536204478330587
Parkinsons Telemonitoring,lmjgp_supervised,25,200,7.828102778215779,4.481225490570068,102.49207229999593,0.835,21.388878590840527,0.9,25.48642081024761
Parkinsons Telemonitoring,lmjgp_supervised,25,300,7.773051401403909,4.398508071899414,100.73855749999348,0.81,20.536058362465756,0.89,24.470222830370403
Parkinsons Telemonitoring,lmjgp_supervised,25,500,8.067502548447855,4.645938396453857,102.40221319999546,0.805,20.88344313468665,0.885,24.884157317411965
Parkinsons Telemonitoring,lmjgp_supervised,35,200,8.574357227845207,4.999042987823486,105.01192889999948,0.78,21.753711192153215,0.87,25.92114566797504
Parkinsons Telemonitoring,lmjgp_supervised,35,300,8.200282293722523,4.745633125305176,132.9650762000092,0.83,22.053923205997336,0.905,26.278870346462845
Parkinsons Telemonitoring,lmjgp_supervised,35,500,8.107132423088018,4.660379409790039,128.93271310000273,0.815,22.105451249227407,0.895,26.340269797009665
Appliances Energy Prediction,xgboost,,,103.25991124490987,41.900306701660156,10.175049299999955,0.865,123.5756949164965,0.9,147.24952265189506
Appliances Energy Prediction,lmjgp_supervised,25,200,107.2852668014481,40.8690071105957,95.90233300000546,0.855,124.25861624198315,0.875,148.0632736023118
Appliances Energy Prediction,lmjgp_supervised,25,300,108.533872537613,41.725547790527344,102.07114489999367,0.825,123.45613053629435,0.855,147.1070529055357
Appliances Energy Prediction,lmjgp_supervised,25,500,109.09146778669853,42.82337951660156,94.23200060000818,0.845,129.66320547891257,0.86,154.50323888678938
Appliances Energy Prediction,lmjgp_supervised,35,200,109.86777590468179,42.13316345214844,114.94076219999988,0.845,119.44431622675839,0.87,142.3266813086259
Appliances Energy Prediction,lmjgp_supervised,35,300,105.06540368512046,40.62202453613281,95.40624989999924,0.84,136.21596744831987,0.865,162.31133636662733
Appliances Energy Prediction,lmjgp_supervised,35,500,107.9744095987592,42.16230392456055,120.1040895999904,0.845,135.06555671917442,0.87,160.94053743375665
